α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.94999 +/- 4.01e-6],-f332c1f43b612fef9db22d0e5 -64 192a7373 -31,[0.974996625007124583905948611572 +/- 4.25e-31],7cccb07d0ed84bfbe76c8b439 -63 0 0,true,true,true,[0.999 +/- 2.40e-4],7fe3b097 -1f 1b1df801 -2a,0.999239484779765,[+/- 5.31e-4],22c70ac5 -29 22c70ac5 -29,0.000530662659912196,[0.92 +/- 1.94e-3],3aebb6c1 -1e 2a69480d -27,[0.953945274639409035444259643555 +/- 3.13e-31],3d0d707b3 -22 0 0,0.953945274639409,0.15550326,5.603095697,0.871419586,7.847726183,30,8,0.265328652,100
[-0.94999 +/- 2.51e-6],-f332a8c9c7eeafef9db22d0e5 -64 192a7373 -31,[0.974995875007122036581819202183 +/- 1.47e-31],7cccaa3271fbabfbe76c8b439 -63 0 0,true,true,true,[0.999 +/- 2.88e-4],7fe5421f -1f 1b205801 -2a,0.999287386425067,[+/- 6.32e-4],296389e5 -29 296389e5 -29,0.000631543317467731,[0.92 +/- 2.01e-3],75d640a5 -1f 2df40d0d -27,[0.949756845191586762666702270508 +/- 1.88e-31],3cc8d0ef5 -22 0 0,0.949756845191587,0.473516,7.033800471,0.973356297,7.547553706,42,8,0.221311277,100
[-0.94995 +/- 5.01e-6],-f33033a481d0993404ea4a8c1 -64 192a7373 -31,[0.974977125007087505625946732834 +/- 3.86e-32],7ccc0ce92074264d013a92a3 -5f 0 0,true,true,true,[0.999 +/- 2.53e-4],7fe41df1 -1f 1b13b801 -2a,0.999252367764939,[+/- 5.05e-4],1085abb9 -28 1085abb9 -28,0.000504216050103424,[0.92 +/- 1.91e-3],3aeb4ff9 -1e 2a5a700d -27,[0.955107264628168195486068725586 +/- 6.25e-32],3d207a387 -22 0 0,0.955107264628169,0.135570791,5.370915336,0.826387336,7.295012282,32,8,0.202102873,100
[-0.94995 +/- 3.51e-6],-f3301a7a0e5e193404ea4a8c1 -64 192a7373 -31,[0.974976375007084958301817323444 +/- 4.69e-31],7ccc069e8397864d013a92a3 -5f 0 0,true,true,true,[0.999 +/- 1.77e-4],1ff86929 -1d 1b132001 -2a,0.99917686358117,[+/- 7.40e-4],ef2f2715a84a1bfe1a22277af -6f 4a4d4b -22,0.000739646990684535,[0.92 +/- 1.99e-3],3aec352f -1e 2b46280d -27,[0.945629472291329875588417053223 +/- 3.44e-31],790a62f4d -23 0 0,0.94562947229133,0.202616165,7.782099698,0.81355134,8.9875033,35,8,0.219580857,100
[-0.94991 +/- 4.50e-6],-f32d0e561394cbfe5c91d14e3 -64 192a7373 -31,[0.974953125007041870819790574387 +/- 3.88e-31],f996872b09ca65ff2e48e8a71 -64 0 0,true,true,true,[0.999 +/- 1.86e-4],ffc3e47 -1c 1b068001 -2a,0.999185923487176,[+/- 6.08e-4],a38dc1b54e8137a95c6ed01cf -6f 135789bf -28,0.000607088664458691,[0.92 +/- 1.95e-3],1d75e7ff -1d 2abfe60d -27,[0.950741708540590479969978332520 +/- 4.69e-31],79b1e7809 -23 0 0,0.950741708540591,0.144273823,6.003293458,0.965241011,7.317762534,32,8,0.39166902,100
[-0.94990 +/- 5.51e-6],-f32cf52ba0224bfe5c91d14e3 -64 192a7373 -31,[0.974952375007039323495661164997 +/- 4.23e-32],f9967a95d01125ff2e48e8a71 -64 0 0,true,true,true,[0.999 +/- 2.58e-4],7fe44a75 -1f 1b06c801 -2a,0.999257481657196,[+/- 5.30e-4],8aedb03 -27 8aedb03 -27,0.00052997005332145,[0.92 +/- 1.89e-3],75d5e34b -1f 2a57610d -27,[0.953974924690555781126022338867 +/- 1.88e-31],3d0decd7b -22 0 0,0.953974924690556,0.124546132,5.220789271,0.803409043,7.005675174,30,8,0.149435372,100
[-0.94956 +/- 5.50e-6],-f3160d888d7f7f65fd8adab9f -64 192a7373 -31,[0.974777625006708166299773665741 +/- 1.42e-31],f98b06c446bfbfb2fec56d5cf -64 0 0,true,true,true,[0.999 +/- 2.06e-4],7fe2a3b3 -1f 1aaab801 -2a,0.999205713160564,[+/- 8.93e-4],5140a94ba38d59f8dfbd9a0af -6d 23b15d53 -29,0.000892222698275362,[0.92 +/- 1.79e-3],eba58af -1c 2a5d660d -27,[0.940283520991215482354164123535 +/- 1.57e-31],785b35ddd -23 0 0,0.940283520991216,0.155716604,12.967101908,0.863798333,10.871837143,37,8,0.192286707,100
[-0.94955 +/- 4.51e-6],-f315f45e1a0cff65fd8adab9f -64 192a7373 -31,[0.974776875006705618975644256352 +/- 4.29e-31],f98afa2f0d067fb2fec56d5cf -64 0 0,true,true,true,[0.999 +/- 1.11e-4],1ff7bd5f -1d 1aa92001 -2a,0.999093368649711,[+/- 5.35e-4],23092ced -29 23092ced -29,0.000534604519089044,[0.92 +/- 1.89e-3],75d5754f -1f 2afde90d -27,[0.953777919494314119219779968262 +/- 2.82e-31],7a156515f -23 0 0,0.953777919494315,0.230608194,6.975914739,0.845236685,7.19465289,41,8,0.236602965,100
[-0.94917 +/- 2.01e-6],-797e718a8dd08adc5d6388659 -63 192a7373 -31,[0.974585625006343087850524398163 +/- 3.13e-31],f97e718a8dd08adc5d6388659 -64 0 0,true,true,true,[0.999 +/- 2.67e-4],7fd9c995 -1f 1a449801 -2a,0.998934049159516,[+/- 4.85e-4],fe3d13d -28 fe3d13d -28,0.000484921614770429,[0.92 +/- 1.83e-3],3aea435d -1e 29f9f60d -27,[0.955981592705938965082168579102 +/- 4.38e-31],3d2ecd6b1 -22 0 0,0.955981592705939,0.158467673,6.210271461,0.82435236,7.162351773,36,8,0.175488824,100
[-0.94917 +/- 1.00e-6],-797e64f554174adc5d6388659 -63 192a7373 -31,[0.974584875006340540526394988774 +/- 2.59e-31],f97e64f554174adc5d6388659 -64 0 0,true,true,true,[0.999 +/- 2.67e-4],1ff6715d -1d 1a443001 -2a,0.998933550901939,[+/- 5.06e-4],2123fbd9 -29 2123fbd9 -29,0.000505684839481547,[0.92 +/- 1.84e-3],3aea4229 -1e 2a075e0d -27,[0.955049098178278654813766479492 +/- 1.88e-31],3d1f8640b -22 0 0,0.955049098178279,0.179432708,6.94591664,0.847714515,7.339653664,42,8,0.2045755,100
[-0.94917 +/- 5.50e-6],-797e3f35a6ecce0902de00d1b -63 192a7373 -31,[0.974582625006337383499754878357 +/- 2.86e-31],f97e3f35a6ecce0902de00d1b -64 0 0,true,true,true,[0.999 +/- 2.26e-4],7fdb20bb -1f 1a441801 -2a,0.99897494819038,[+/- 7.57e-4],d1e4c5a37512d58c0c9bb7829 -6f 175688ab -28,0.000756450317050772,[0.92 +/- 1.84e-3],75d379bd -1f 2b30970d -27,0.945020901039242744445800781250,1e3d9c79 -1d 0 0,0.945020901039243,0.257502203,7.415988138,0.930839322,9.603683451,46,8,0.149427844,100
[-0.94916 +/- 4.51e-6],-797e32a06d338e0902de00d1b -63 192a7373 -31,[0.974581875006334836175625468968 +/- 2.86e-31],f97e32a06d338e0902de00d1b -64 0 0,true,true,true,[0.999 +/- 2.71e-4],3fecd44f -1e 1a42b001 -2a,0.998930091038574,[+/- 6.12e-4],14064ee1 -28 14064ee1 -28,0.000611103549090331,[0.92 +/- 1.84e-3],75d486d9 -1f 2a1a4b0d -27,[0.950585423241136595606803894043 +/- 3.13e-32],79acc87c7 -23 0 0,0.950585423241137,0.20672498,7.923105134,0.928330573,7.580700078,48,8,0.211988988,100
[-0.29161 +/- 5.50e-6],-954d9c6ba47d4999999999999 -65 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2456 +/- 4.24e-5],13ee0c1d -1c 1a8b8001 -2c,1.2456423360855,[+/- 2.14e-5],d8188e9aec6dc0e648d07d73f -74 23b6e1f1 -2e,2.13952938527611e-5,[0.981 +/- 3.94e-4],7d9c9867 -1f 1b24f00b -2b,[0.989675086253555491566658020020 +/- 4.69e-31],7eadac589 -23 0 0,0.989675086253556,0.018321685,1.629822035,0.389908956,1.406484925,5,2,0.55278352,100
[-0.29160 +/- 4.51e-6],-954cc25111454999999999999 -65 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2456 +/- 4.68e-5],13ee10b5 -1c 1a8b8001 -2c,1.24564671702689,[+/- 2.14e-5],d812da2c68b821a97261c9f -6c 11dc08d3 -2d,2.13950704776134e-5,[0.981 +/- 3.93e-4],3ece4aeb -1e 1b25400b -2b,[0.989675122000335250049829483032 +/- 2.27e-31],1fab6b2955 -25 0 0,0.989675122000336,0.018140685,1.712987042,0.115454173,1.399544051,5,2,0.006197942,100
[-0.29157 +/- 4.50e-6],-4aa43fe618a50b33333333333 -64 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2456 +/- 6.87e-5],4fb89eb3 -1e 1a8c4001 -2c,1.24566862359649,[+/- 2.14e-5],35fda0380275e8523c621dfdb -72 23be09a9 -2e,2.13940288774895e-5,[0.9813 +/- 9.14e-5],fb3911d -1c 1b24e00b -2b,[0.989675282544340007007122039795 +/- 7.82e-32],fd5b5bfc3 -24 0 0,0.98967528254434,0.023505824,1.15343148,0.117252999,1.498126533,5,2,0.006301362,100
[-0.29156 +/- 5.51e-6],-4aa3d2d8cf090b33333333333 -64 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2456 +/- 7.38e-5],27dc5a0f -1d 1a8d0001 -2c,1.24567373283214,[+/- 2.14e-5],db0ee232c8e5000f61e547737 -74 8bbf0dd -2c,2.13864114001608e-5,[0.9813 +/- 9.11e-5],7d9c8655 -1f 1b24f00b -2b,[0.989677099627442657947540283203 +/- 1.25e-31],1fab6f4f1 -21 0 0,0.989677099627443,0.018212895,0.12579664,0.11465938,0.750919378,5,2,0.006055783,100
[-0.29156 +/- 7.50e-6],-9546cb970ae5affffffffffff -65 3686a4d -2c,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 7.26e-5],9f718d -17 1a8d0001 -2c,1.24567811563617,[+/- 2.14e-5],db09e6a153f7ddb3767b526cd -74 22f0be41 -2e,2.13861636855768e-5,[0.9813 +/- 9.08e-5],7d9c83c1 -1f 1b25100b -2b,[0.989677141253196168690919876099 +/- 3.68e-31],1fab6f6569 -25 0 0,0.989677141253197,0.017962284,0.114838681,0.116790749,1.136386787,5,2,0.006260582,100
[-0.29155 +/- 4.00e-6],-9545f17c77a9affffffffffff -65 3686a4d -2c,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 6.82e-5],27dc6c7 -19 1a8d0001 -2c,1.24568249657756,[+/- 2.14e-5],db04eb0c137bbd70fb924827d -74 22f1b91 -2a,2.13859159859315e-5,[0.9813 +/- 9.05e-5],3ece4097 -1e 1b24a00b -2b,[0.989677182886225637048482894897 +/- 4.61e-31],1fab6f7bc3 -25 0 0,0.989677182886226,0.017870904,0.115547553,0.1450858,1.014722842,5,2,0.0056307,100
[-0.29154 +/- 6.01e-6],-95451761e47d4999999999999 -65 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 6.38e-5],27dc75a1 -1d 1a8d0001 -2c,1.2456868793816,[+/- 2.14e-5],36bffdc9958f9c4aadd207bb9 -72 11795af7 -2d,2.13856827654159e-5,[0.9813 +/- 9.02e-5],7d9c7e97 -1f 1b24f00b -2b,[0.989677221012243535369634628296 +/- 1.02e-31],1fab6f903b -25 0 0,0.989677221012244,0.018358526,0.11464327,0.115794295,0.742748269,5,2,0.005774931,100
[-0.29154 +/- 7.00e-6],-95443d4751454999999999999 -65 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 6.02e-5],4fb8fa93 -1e 1a8dc001 -2c,1.24569053389138,[+/- 2.14e-5],35f693598ebb020e28ae9084b -72 23c3f919 -2e,2.13929904839112e-5,[0.9813 +/- 8.98e-5],7d9c7bff -1f 1b24f00b -2b,[0.989675442317093256860971450806 +/- 3.36e-31],1fab6bd54d -25 0 0,0.989675442317094,0.017925475,1.494177189,0.117618521,0.770828959,5,2,0.005455389,100
[-0.29153 +/- 3.50e-6],-9543632cbe16e333333333333 -65 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 5.44e-5],27dc8979 -1d 1a8d8001 -2c,1.2456963434816,[+/- 2.14e-5],de51db2d4e5d73479ffeaf157 -74 2215e4d9 -2e,2.13779117690156e-5,[0.9813 +/- 8.95e-5],fb38f2d -1c 1b24c00b -2b,[0.989679057478497270494699478149 +/- 4.15e-31],1fab736a2d -25 0 0,0.989679057478498,0.018059065,0.113597616,0.120594682,1.261533446,5,2,0.00542016,100
[-0.29152 +/- 6.51e-6],-954289122adee333333333333 -65 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 5.14e-5],4fb91f53 -1e 1a8dc001 -2c,1.24569929577416,[+/- 2.14e-5],6be77eecc34a8ec4fa569fd19 -73 23c65b1 -2a,2.13925760360415e-5,[0.9813 +/- 8.92e-5],7d9c76d7 -1f 1b24700b -2b,[0.989675506010826211422681808472 +/- 3.21e-31],1fab6bf77f -25 0 0,0.989675506010827,0.018270495,1.822828496,0.125637739,0.89378444,5,2,0.00549285,100
[-0.29152 +/- 6.50e-6],-25506bbde5ec9f33333333333 -63 3686a4d -2c,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 4.70e-5],4fb931b5 -1e 1a8dc001 -2c,1.2457036785782,[+/- 2.14e-5],d7c95f5ceb3b55008b8370ab9 -74 11e3c4e5 -2d,2.13923690527867e-5,[0.9813 +/- 8.89e-5],7d9c743f -1f 1b24d00b -2b,[0.989675537806760985404253005981 +/- 4.46e-31],1fab6c0891 -25 0 0,0.989675537806761,0.018149335,1.650519639,0.117447001,1.016076117,5,2,0.0055667,100
[-0.29151 +/- 3.51e-6],-25503537411d9f33333333333 -63 3686a4d -2c,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 4.26e-5],4fb94415 -1e 1a8e4001 -2c,1.24570806138224,[+/- 2.14e-5],d7c3c96bd53e7ea3d77b0c7e9 -74 8f22e9b -2c,2.13921767760645e-5,[0.9813 +/- 8.86e-5],1f671c6b -1d 1b24c00b -2b,[0.989675566037476528435945510864 +/- 2.58e-31],1fab6c17b9 -25 0 0,0.989675566037477,0.017977304,1.741194324,0.14537402,0.784306708,5,2,0.00558583,100
[-0.29150 +/- 7.01e-6],-4a9ffd6138a50b33333333333 -64 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 3.83e-5],4fb95675 -1e 1a8e4001 -2c,1.24571244232363,[+/- 2.14e-5],1af7c48871defbd2d7721ff81 -71 11e4f371 -2d,2.13919554836596e-5,[0.9813 +/- 8.83e-5],7d9c6f1b -1f 1b24f00b -2b,[0.989675601289491169154644012451 +/- 1.72e-31],fd5b61553 -24 0 0,0.989675601289492,0.024560767,1.607443165,0.153455979,0.927554651,5,2,0.005784371,100
[-0.29150 +/- 6.00e-6],-4a9f9053ef090b33333333333 -64 3686a4cf -30,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 3.31e-5],27dcb5f7 -1d 1a8e8001 -2c,1.24571756273514,[+/- 2.14e-5],dadd12ccb582be446d3bcb7d5 -74 22f9932f -2e,2.13839516927871e-5,[0.9813 +/- 8.80e-5],7d9c6c85 -1f 1b25100b -2b,[0.989677511679474264383316040039 +/- 6.25e-32],3f56e0589 -22 0 0,0.989677511679475,0.024619098,0.129378483,0.115639614,1.263765384,5,2,0.006065722,100
[-0.29149 +/- 4.01e-6],-953e468d4ae5affffffffffff -65 3686a4d -2c,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.2457 +/- 2.95e-5],9f72f67 -1b 1a8e8001 -2c,1.2457212079317,[+/- 2.14e-5],d7b2fb82457932ba7b90fbf7 -70 8f30fe3 -2c,2.13915424832272e-5,[0.9813 +/- 8.77e-5],3ece34f7 -1e 1b24a00b -2b,[0.989675664626702200621366500854 +/- 4.93e-31],1fab6c4ca7 -25 0 0,0.989675664626703,0.018229326,1.633403577,0.116727498,0.757530162,5,2,0.00558694,100
